species,year,avgcatch,catchUCI,catchLCI
12,2002,2.865133498,4.53371483,1.196552166
12,2003,3.278978061,5.646484758,0.911471364
12,2004,1.550255037,2.256798765,0.84371131
12,2005,4.340284572,5.849883003,2.830686141
12,2006,1.658778753,2.305730154,1.011827352
12,2007,9.49475245,19.19364413,0
12,2008,3.251721156,4.741959696,1.761482617
12,2009,3.880008913,6.293878829,1.466138997
12,2010,3.876629685,5.479447335,2.273812035
12,2011,2.837516614,4.558805135,1.116228092
12,2012,3.26585532,5.719265026,0.812445614
12,2013,1.416872032,2.27354614,0.560197924
12,2014,6.423206161,12.31923147,0.527180853
12,2015,3.196362482,4.357081194,2.03564377
12,2016,2.848498056,4.029831218,1.667164894
12,2017,4.245277641,8.333977025,0.156578257
12,2018,1.463384714,2.061120346,0.865649082
12,2019,5.376298562,9.1198867,1.632710424
12,2020,5.716809437,8.088347775,3.345271099
14,1971,0,0,0
14,1972,0,0,0
14,1973,0,0,0
14,1974,0.080778516,0.117717331,0.0438397
14,1975,0.02163101,0.064891583,0
14,1976,0.011052444,0.033156826,0
14,1977,0.004238852,0.01271596,0
14,1978,0.005880023,0.017639647,0
14,1979,0.01213751,0.036411967,0
14,1980,0,0,0
14,1981,0.020782278,0.05163036,0
14,1982,0,0,0
14,1983,0,0,0
14,1984,0.127549209,0.22776897,0.027329448
14,1985,0.197983965,0.342952344,0.053015586
14,1986,0.172041929,0.27642087,0.067662988
14,1987,0.416824653,0.80974449,0.023904815
14,1988,0.137217745,0.322392039,0
14,1989,0.076813583,0.148483516,0.005143651
14,1990,0.031035846,0.065909332,0
14,1991,0.045668024,0.080589328,0.010746721
14,1992,0.028485128,0.06270124,0
14,1993,0.007282506,0.021846955,0
14,1994,0,0,0
14,1995,0.006358456,0.019074773,0
14,1996,0.010405797,0.023407868,0
14,1997,0,0,0
14,1998,0.01677483,0.036235557,0
14,1999,0.002799914,0.008399463,0
14,2000,0.002440528,0.007321293,0
14,2001,0.019571582,0.040029474,0
14,2002,0.022337525,0.043626578,0.001048473
14,2003,0.008229687,0.024688473,0
14,2004,0.004966689,0.014899474,0
14,2005,0.010543185,0.025523195,0
14,2006,0,0,0
14,2007,0.016061108,0.034858349,0
14,2008,0.062541832,0.187615047,0
14,2009,0.037031779,0.067330512,0.006733046
14,2010,0.013905298,0.030395438,0
14,2011,0.048994622,0.11311276,0
14,2012,0.061266252,0.10770379,0.014828714
14,2013,0.19501752,0.343351673,0.046683366
14,2014,0.070494806,0.130491696,0.010497915
14,2015,0.071160963,0.125058767,0.017263159
14,2016,0.192060632,0.362476251,0.021645013
14,2017,0.094921093,0.155721521,0.034120665
14,2018,0.089977448,0.19388116,0
14,2019,0.131960297,0.265680184,0
14,2020,0.066762146,0.12810874,0.005415552
16,1971,0,0,0
16,1972,0.028837491,0.071894742,0
16,1973,0,0,0
16,1974,0.054287909,0.131172394,0
16,1975,0.018015626,0.054046202,0
16,1976,0.019302456,0.057906645,0
16,1977,0.004238852,0.01271596,0
16,1978,0.053409501,0.13227138,0
16,1979,0.024025313,0.058003164,0
16,1980,0.009246069,0.027737645,0
16,1981,0.029997221,0.052604056,0.007390386
16,1982,0.019572986,0.047498543,0
16,1983,0.025530244,0.05505225,0
16,1984,0.009380181,0.022885688,0
16,1985,0.082999444,0.145492526,0.020506361
16,1986,0.058328374,0.124407681,0
16,1987,0.262472265,0.555770829,0
16,1988,0.545796419,1.539804652,0
16,1989,0.049670547,0.082647063,0.01669403
16,1990,0.048303087,0.111982252,0
16,1991,0.136132757,0.329642382,0
16,1992,0.050846003,0.12500839,0
16,1993,0.00200168,0.006004478,0
16,1994,0.030617322,0.068695083,0
16,1995,0.005450099,0.016349702,0
16,1996,0.055051819,0.127446003,0
16,1997,0.03335139,0.061961546,0.004741235
16,1998,0.025145522,0.050655809,0
16,1999,0.006824447,0.020472723,0
16,2000,0.002103015,0.006308763,0
16,2001,0.029864208,0.078846213,0
16,2002,0.061772314,0.138971213,0
16,2003,0,0,0
16,2004,0.012753199,0.038258434,0
16,2005,0.006653965,0.016140618,0
16,2006,0,0,0
16,2007,0.025276897,0.075827678,0
16,2008,0.027072523,0.081213698,0
16,2009,0.006737408,0.02021165,0
16,2010,0,0,0
16,2011,0.007125031,0.021374415,0
16,2012,0,0,0
16,2013,0.019595353,0.047327458,0
16,2014,0,0,0
16,2015,0,0,0
16,2016,0.027906461,0.068470597,0
16,2017,0.006388163,0.019163897,0
16,2018,0.959953115,2.863425185,0
16,2019,0.026669281,0.058360707,0
16,2020,0,0,0
23,1971,56.30541683,96.24094982,16.36988383
23,1972,47.29521209,82.31822106,12.27220311
23,1973,50.78859292,84.20579388,17.37139196
23,1974,65.01464397,97.05130607,32.97798188
23,1975,27.66345805,33.31250487,22.01441123
23,1976,13.11829739,19.67637152,6.560223249
23,1977,51.18706765,106.7993192,0
23,1978,22.92347352,33.65646694,12.19048009
23,1979,49.93860045,117.4592268,0
23,1980,48.85924867,95.75058954,1.967907802
23,1981,74.39158027,152.4618112,0
23,1982,19.71190011,35.64155346,3.782246769
23,1983,36.70266085,54.26156416,19.14375755
23,1984,25.33454995,32.19920138,18.46989851
23,1985,39.26675791,66.50056204,12.03295379
23,1986,62.50605657,80.3151124,44.69700074
23,1987,59.24969534,83.14419206,35.35519863
23,1988,186.1918527,388.5999343,0
23,1989,106.6354897,199.6392054,13.63177401
23,1990,78.5462315,119.7900261,37.30243691
23,1991,23.78204671,30.57941092,16.98468251
23,1992,57.18122521,97.46803277,16.89441765
23,1993,13.12834438,18.15982225,8.096866502
23,1994,10.01994757,14.27750308,5.762392071
23,1995,4.473540244,5.594976205,3.352104283
23,1996,7.456597592,10.95720517,3.955990014
23,1997,4.64163544,6.496037206,2.787233674
23,1998,3.709152546,5.495780241,1.922524852
23,1999,6.029450284,10.9923494,1.066551171
23,2000,5.986408092,12.73269517,0
23,2001,10.1878764,18.82930976,1.546443037
23,2002,5.098224131,8.328327304,1.868120959
23,2003,3.551477237,3.994308923,3.108645552
23,2004,9.135697347,22.49166568,0
23,2005,6.430403842,8.180571151,4.680236532
23,2006,22.26536939,49.47686967,0
23,2007,3.722478916,5.045767723,2.399190109
23,2008,23.52649098,52.71649827,0
23,2009,18.06099339,40.75545548,0
23,2010,6.238560148,8.628709794,3.848410502
23,2011,57.15637303,160.5144774,0
23,2012,11.11979701,21.19879678,1.040797241
23,2013,32.40140347,73.34098994,0
23,2014,64.41865798,130.4906366,0
23,2015,74.77350155,125.3274559,24.21954723
23,2016,332.8919111,553.2759411,112.5078812
23,2017,329.0787599,542.2811954,115.8763243
23,2018,406.9550854,640.5250465,173.3851243
23,2019,168.6886693,235.6446354,101.7327032
23,2020,102.6326468,158.0751097,47.19018383
30,1971,0,0,0
30,1972,0,0,0
30,1973,0,0,0
30,1974,0,0,0
30,1975,0,0,0
30,1976,0,0,0
30,1977,0,0,0
30,1978,0,0,0
30,1979,0,0,0
30,1980,0.01213751,0.036411967,0
30,1981,0,0,0
30,1982,0,0,0
30,1983,0,0,0
30,1984,0.038295813,0.078079336,0
30,1985,0.03517222,0.071940885,0
30,1986,0.01911235,0.047554635,0
30,1987,0.013679723,0.03302491,0
30,1988,0.03672928,0.066401988,0.007056571
30,1989,0,0,0
30,1990,0,0,0
30,1991,0.007566824,0.018067324,0
30,1992,0.020402148,0.046037527,0
30,1993,0.003335008,0.010004766,0
30,1994,0.003050497,0.009151218,0
30,1995,0.02051179,0.042983985,0
30,1996,0.016144106,0.031662809,0.000625403
30,1997,0.009275496,0.019375406,0
30,1998,0.037610949,0.088232465,0
30,1999,0.027652623,0.046222553,0.009082693
30,2000,0.10280174,0.168613962,0.036989518
30,2001,0.075268637,0.15474398,0
30,2002,0.257618641,0.419804938,0.095432345
30,2003,0.092482217,0.159656995,0.025307438
30,2004,0.251239836,0.391713477,0.110766195
30,2005,0.1107216,0.180940282,0.040502918
30,2006,0.230061155,0.328707715,0.131414595
30,2007,0.321466707,0.526463362,0.116470052
30,2008,0.25100553,0.351217027,0.150794033
30,2009,0.151984812,0.232223657,0.071745968
30,2010,0.326280228,0.52657148,0.125988976
30,2011,0.361913266,0.501879033,0.2219475
30,2012,0.363904886,0.60330098,0.124508791
30,2013,0.317933792,0.517208106,0.118659477
30,2014,0.31340362,0.505667116,0.121140124
30,2015,0.433502752,0.604325756,0.262679748
30,2016,0.503670789,0.903271419,0.104070159
30,2017,0.398748596,0.671748343,0.12574885
30,2018,0.305886279,0.608540404,0.003232154
30,2019,0.322514267,0.456557615,0.188470919
30,2020,0.595138591,1.086376254,0.103900927
31,1971,0.060052085,0.180154007,0
31,1972,0.030480262,0.075090016,0
31,1973,0.062088134,0.154366807,0
31,1974,0.282327935,0.404271284,0.160384586
31,1975,0.271393308,0.50577094,0.037015677
31,1976,0.46089296,0.859520919,0.062265001
31,1977,0.425338584,0.625709996,0.224967172
31,1978,0.303322276,0.586657776,0.019986776
31,1979,0.197036348,0.303547599,0.090525097
31,1980,0.097610237,0.177063497,0.018156978
31,1981,0.021669398,0.052371201,0
